,gene_name,product,start,stop,strand,operon,length,cog
b0046,kefF,regulator of KefC-mediated potassium transport and quinone oxidoreductase,47246,47776,+,kefC;kefF,531,Function unknown
b0047,kefC,K<sup>+</sup> : H<sup>+</sup> antiporter KefC,47769,49631,+,kefC;kefF,1863,Inorganic ion transport and metabolism
b0048,folA,dihydrofolate reductase,49823,50302,+,folA,480,Coenzyme transport and metabolism
b0049,apaH,diadenosine tetraphosphatase,50380,51222,-,apaH;apaG;rsmA;pdxA;surA,843,Signal transduction mechanisms
b0050,apaG,DUF525 domain-containing protein ApaG,51229,51606,-,apaH;apaG;rsmA;pdxA;surA,378,Inorganic ion transport and metabolism
b0051,rsmA,"16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase",51609,52430,-,rsmA;pdxA;apaH;apaG;surA,822,"Translation, ribosomal structure and biogenesis"
b0052,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,52427,53416,-,pdxA;surA;lptD;rsmA;apaH;apaG,990,Coenzyme transport and metabolism
b0053,surA,peptidyl-prolyl <i>cis-trans</i> isomerase SurA,53416,54702,-,pdxA;surA;lptD;apaH;apaG;rsmA,1287,"Posttranslational modification, protein turnover, chaperones"
b0054,lptD,lipopolysaccharide assembly protein LptD,54755,57109,-,pdxA;surA;lptD,2355,Cell wall/membrane/envelope biogenesis
b0055,djlA,co-chaperone protein DjlA,57364,58179,+,djlA,816,"Posttranslational modification, protein turnover, chaperones"
b0058,rluA,23S rRNA pseudouridine<sup>746</sup> and tRNA pseudouridine<sup>32</sup> synthase,59687,60346,-,rluA;rapA,660,"Translation, ribosomal structure and biogenesis"
b0059,rapA,RNA polymerase-binding ATPase and RNAP recycling factor,60358,63264,-,rapA;rluA,2907,"Replication, recombination and repair"
b0060,polB,DNA polymerase II,63429,65780,-,polB,2352,"Replication, recombination and repair"
b0061,araD,L-ribulose-5-phosphate 4-epimerase AraD,65855,66550,-,araD;araA;araB,696,Carbohydrate transport and metabolism
b0062,araA,L-arabinose isomerase,66835,68337,-,araD;araA;araB,1503,Carbohydrate transport and metabolism
b0063,araB,ribulokinase,68348,70048,-,araD;araA;araB,1701,Carbohydrate transport and metabolism
b0064,araC,DNA-binding transcriptional dual regulator AraC,70387,71265,+,araC,879,Transcription
b0065,yabI,DedA family protein YabI,71351,72115,+,yabI,765,Function unknown
b0066,thiQ,thiamin ABC transporter ATP binding subunit,72229,72927,-,sgrR;sroA;thiB;thiP;thiQ,699,Coenzyme transport and metabolism
b0067,thiP,thiamin ABC transporter membrane subunit,72911,74521,-,sgrR;sroA;thiB;thiP;thiQ,1611,Inorganic ion transport and metabolism
b0068,thiB,thiamin ABC transporter periplasmic binding protein,74497,75480,-,sgrR;sroA;thiB;thiP;thiQ,984,Coenzyme transport and metabolism
b0069,sgrR,DNA-binding transcriptional dual regulator SgrR,75644,77299,-,sgrR;sroA;thiB;thiP;thiQ,1656,Function unknown
b0070,setA,B0070-MONOMER,77621,78799,+,sgrT;setA;sgrS,1179,Carbohydrate transport and metabolism
b0071,leuD,3-isopropylmalate dehydratase subunit LeuD,78848,79453,-,leuD;leuC;leuB;leuA;leuL,606,Amino acid transport and metabolism
b0072,leuC,3-isopropylmalate dehydratase subunit LeuC,79464,80864,-,leuD;leuC;leuB;leuA;leuL,1401,Amino acid transport and metabolism
b0073,leuB,3-isopropylmalate dehydrogenase,80867,81958,-,leuD;leuC;leuB;leuA;leuL,1092,Amino acid transport and metabolism
b0074,leuA,2-isopropylmalate synthase,81958,83529,-,leuD;leuC;leuB;leuA;leuL,1572,Amino acid transport and metabolism
b0075,leuL,<i>leu</i> operon leader peptide,83622,83708,-,leuL;leuD;leuC;leuB;leuA,87,No COG Annotation
b0076,leuO,DNA-binding transcriptional dual regulator LeuO,84368,85312,+,leuO,945,Transcription
b0077,ilvI,"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit",85630,87354,+,ilvH;ilvI,1725,Amino acid transport and metabolism
b0078,ilvH,"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit",87357,87848,+,ilvH;ilvI,492,Amino acid transport and metabolism
b0080,cra,DNA-binding transcriptional dual regulator Cra,88028,89032,+,cra,1005,Transcription
b0081,mraZ,DNA-binding transcriptional repressor MraZ,89634,90092,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,459,Function unknown
b0082,rsmH,16S rRNA m<sup>4</sup>C1402 methyltransferase,90094,91035,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,942,Cell wall/membrane/envelope biogenesis
b0083,ftsL,cell division protein FtsL,91032,91397,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,366,"Cell cycle control, cell division, chromosome partitioning"
b0084,ftsI,peptidoglycan DD-transpeptidase FtsI,91413,93179,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,1767,Cell wall/membrane/envelope biogenesis
b0086,murF,UDP-NACMURALGLDAPAALIG-MONOMER,94650,96008,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,1359,Cell wall/membrane/envelope biogenesis
b0087,mraY,PHOSNACMURPENTATRANS-MONOMER,96002,97084,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,1083,Cell wall/membrane/envelope biogenesis
b0088,murD,UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase,97087,98403,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,1317,Cell wall/membrane/envelope biogenesis
b0089,ftsW,essential cell division protein FtsW,98403,99647,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,1245,"Cell cycle control, cell division, chromosome partitioning"
b0090,murG,NACGLCTRANS-MONOMER,99644,100711,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,1068,Cell wall/membrane/envelope biogenesis
b0091,murC,UDP-<i>N</i>-acetylmuramate&mdash;L-alanine ligase,100765,102240,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,1476,Cell wall/membrane/envelope biogenesis
b0092,ddlB,D-alanine&mdash;D-alanine ligase B,102233,103153,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,921,Cell wall/membrane/envelope biogenesis
b0093,ftsQ,cell division protein FtsQ,103155,103985,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,831,Cell wall/membrane/envelope biogenesis
b0094,ftsA,cell division protein FtsA,103982,105244,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,1263,"Cell cycle control, cell division, chromosome partitioning"
b0095,ftsZ,cell division protein FtsZ,105305,106456,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,1152,"Cell cycle control, cell division, chromosome partitioning"
b0096,lpxC,UDPACYLGLCNACDEACETYL-MONOMER,106557,107474,+,lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,918,Cell wall/membrane/envelope biogenesis
b0097,secM,SecA translation regulator,107705,108217,+,mutT;secA;secM,513,Transcription
b0098,secA,protein translocation ATPase,108279,110984,+,mutT;secA;secM,2706,"Intracellular trafficking, secretion, and vesicular transport"
b0099,mutT,8-oxo-dGTP diphosphatase,111044,111433,+,mutT;secA;secM,390,"Replication, recombination and repair"
b0101,yacG,DNA gyrase inhibitor YacG,111649,111846,-,yacG;coaE;zapD,198,Function unknown
b0102,zapD,cell division factor ZapD,111856,112599,-,coaE;zapD;yacG,744,Function unknown
b0103,coaE,EG12312-MONOMER,112599,113219,-,coaE;zapD;yacG,621,Coenzyme transport and metabolism
b0104,guaC,GMP reductase,113444,114487,+,guaC,1044,Nucleotide transport and metabolism
b0106,hofC,inner membrane protein HofC,114522,115724,-,ppdD;hofB;hofC,1203,"Intracellular trafficking, secretion, and vesicular transport"
b0107,hofB,T2SSE family protein,115714,117099,-,ppdD;hofB;hofC,1386,"Intracellular trafficking, secretion, and vesicular transport"
b0108,ppdD,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,117109,117549,-,ppdD;hofB;hofC,441,"Intracellular trafficking, secretion, and vesicular transport"
b0109,nadC,quinolinate phosphoribosyltransferase (decarboxylating),117752,118645,-,nadC,894,Coenzyme transport and metabolism
b0110,ampD,"1,6-anhydro-<i>N</i>-acetylmuramoyl-L-alanine amidase",118733,119284,+,ampD;ampE,552,Cell wall/membrane/envelope biogenesis
b0111,ampE,protein AmpE,119281,120135,+,ampD;ampE,855,Defense mechanisms
b0112,aroP,aromatic amino acid:H<sup>+</sup> symporter AroP,120178,121551,-,aroP,1374,Amino acid transport and metabolism
b0113,pdhR,DNA-binding transcriptional dual regulator PdhR,122092,122856,+,pdhR;aceE;aceF;lpd,765,Transcription
b0114,aceE,pyruvate dehydrogenase E1 component,123017,125680,+,aceF;aceE;pdhR;lpd,2664,Energy production and conversion
b0116,lpd,lipoamide dehydrogenase,127912,129336,+,lpd;pdhR;aceE;aceF,1425,Energy production and conversion
b0117,yacH,DUF3300 domain-containing protein YacH,129407,131260,-,yacH,1854,Function unknown
b0118,acnB,AcnB,131615,134212,+,acnB,2598,Energy production and conversion
b0119,yacL,UPF0231 family protein YacL,134388,134750,+,yacL,363,Function unknown
b0120,speD,"<i>S</i>-adenosylmethionine decarboxylase proenzyme // ""&beta; cleavage product of SpeD"" // ""&alpha; cleavage product of SpeD""",134788,135582,-,speD;yacC;speE,795,Amino acid transport and metabolism
b0121,speE,spermidine synthase,135598,136464,-,speE;yacC;speD,867,Amino acid transport and metabolism
b0123,cueO,multicopper oxidase CueO,137083,138633,+,cueO,1551,"Secondary metabolites biosynthesis, transport and catabolism"
b0124,gcd,quinoprotein glucose dehydrogenase,138835,141225,-,gcd,2391,Carbohydrate transport and metabolism
b0125,hpt,hypoxanthine phosphoribosyltransferase,141431,141967,+,hpt,537,Nucleotide transport and metabolism
b0126,can,carbonic anhydrase 2,142008,142670,-,can,663,Inorganic ion transport and metabolism
b0128,yadH,putative ABC transporter membrane subunit YadH,143702,144472,+,yadH;yadG,771,Defense mechanisms
b0129,yadI,putative PTS enzyme IIA component YadI,144577,145017,+,yadI,441,Carbohydrate transport and metabolism
b0131,panD,"PanD &beta; cleavage product // ""PanD &alpha; cleavage product"" // ""aspartate 1-decarboxylase proenzyme""",146314,146694,-,panD,381,Coenzyme transport and metabolism
b0132,rpnC,recombination-promoting nuclease RpnC,146968,147870,+,rpnC,903,Function unknown
b0133,panC,pantothenate synthetase,147944,148795,-,panC;panB,852,Coenzyme transport and metabolism
b0134,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,148807,149601,-,panC;panB,795,Coenzyme transport and metabolism
b0135,yadC,fimbrial tip-adhesin YadC,149715,150953,-,yadC;yadK;yadL;yadM,1239,"Intracellular trafficking, secretion, and vesicular transport"
b0136,yadK,putative fimbrial protein YadK,151003,151599,-,yadC;yadK;yadL;yadM,597,Function unknown
b0137,yadL,putative fimbrial protein YadL,151626,152231,-,yadC;yadK;yadL;yadM,606,Function unknown
b0138,yadM,putative fimbrial protein YadM,152243,152812,-,yadC;yadK;yadL;yadM,570,Function unknown
b0139,htrE,putative fimbrial usher protein HtrE,152829,155426,-,htrE;yadV,2598,Cell wall/membrane/envelope biogenesis
b0140,yadV,putative fimbrial chaperone YadV,155461,156201,-,htrE;yadV,741,"Posttranslational modification, protein turnover, chaperones"
b0141,yadN,putative fimbrial protein YadN,156299,156883,-,yadN,585,No COG Annotation
b0142,folK,H2PTERIDINEPYROPHOSPHOKIN-MONOMER,157253,157732,-,folK;pcnB,480,Coenzyme transport and metabolism
b0143,pcnB,poly(A) polymerase I,157729,159126,-,folK;pcnB,1398,"Translation, ribosomal structure and biogenesis"
b0144,gluQ,glutamyl-Q tRNA<sup>Asp</sup> synthetase,159186,160112,-,gluQ;dksA,927,"Translation, ribosomal structure and biogenesis"
b0145,dksA,RNA polymerase-binding transcription factor DksA,160149,160604,-,gluQ;dksA;sfsA,456,Signal transduction mechanisms
b0146,sfsA,putative DNA-binding transcriptional regulator of maltose metabolism,160782,161486,-,dksA;sfsA,705,Function unknown
b0147,thpR,"RNA 2',3'-cyclic phosphodiesterase",161501,162031,-,thpR,531,"Translation, ribosomal structure and biogenesis"
b0148,hrpB,putative ATP-dependent RNA helicase HrpB,162105,164534,+,hrpB,2430,"Replication, recombination and repair"
b0149,mrcB,"PBP1B&gamma; // ""peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB""",164730,167264,+,mrcB,2535,Cell wall/membrane/envelope biogenesis
b0150,fhuA,ferrichrome outer membrane transporter/phage receptor,167484,169727,+,fhuA;fhuC;fhuD;fhuB,2244,Inorganic ion transport and metabolism
b0151,fhuC,iron(III) hydroxamate ABC transporter ATP binding subunit,169778,170575,+,fhuA;fhuC;fhuD;fhuB,798,Inorganic ion transport and metabolism
b0152,fhuD,iron(III) hydroxamate ABC transporter periplasmic binding protein,170575,171465,+,fhuA;fhuC;fhuD;fhuB,891,Inorganic ion transport and metabolism
b0153,fhuB,iron(III) hydroxamate ABC transporter membrane subunit,171462,173444,+,fhuA;fhuC;fhuD;fhuB,1983,Inorganic ion transport and metabolism
b0154,hemL,glutamate-1-semialdehyde aminotransferase,173602,174882,-,hemL,1281,Coenzyme transport and metabolism
b0155,clcA,chloride:H<sup>+</sup> antiporter ClcA,175107,176528,+,clcA,1422,Inorganic ion transport and metabolism
b0156,erpA,iron-sulfur cluster insertion protein ErpA,176610,176954,+,erpA,345,Function unknown
b0157,yadS,PF03458 family protein YadS,177001,177624,-,mtn;btuF;yadS,624,Function unknown
b0158,btuF,vitamin B<sub>12</sub> ABC transporter periplasmic binding protein,177662,178462,-,mtn;btuF;yadS,801,Inorganic ion transport and metabolism
b0159,mtn,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,178455,179153,-,mtn;btuF;yadS,699,Nucleotide transport and metabolism
b0160,dgt,dGTP triphosphohydrolase,179237,180754,+,dgt,1518,Nucleotide transport and metabolism
b0161,degP,periplasmic serine endoprotease DegP,180884,182308,+,degP,1425,"Posttranslational modification, protein turnover, chaperones"
b0162,cdaR,DNA-binding transcriptional activator CdaR,182463,183620,+,cdaR,1158,Transcription
b0163,yaeH,DUF3461 domain-containing protein YaeH,183709,184095,-,yaeH,387,Function unknown
b0164,yaeI,phosphodiesterase YaeI,184257,185069,-,yaeI,813,Function unknown
b0166,dapD,tetrahydrodipicolinate succinylase,185123,185947,-,map;glnD;dapD,825,Amino acid transport and metabolism
b0167,glnD,PII uridylyltransferase / uridylyl removing enzyme,185978,188650,-,glnD;map;dapD,2673,"Posttranslational modification, protein turnover, chaperones"
b0168,map,methionine aminopeptidase,188712,189506,-,map;glnD;dapD,795,"Translation, ribosomal structure and biogenesis"
b0169,rpsB,30S ribosomal subunit protein S2,189874,190599,+,tff;rpsB;tsf,726,"Translation, ribosomal structure and biogenesis"
b0170,tsf,protein chain elongation factor EF-Ts,190857,191708,+,tff;rpsB;tsf,852,"Translation, ribosomal structure and biogenesis"
b0171,pyrH,UMP kinase,191855,192580,+,pyrH,726,Nucleotide transport and metabolism
b0172,frr,ribosome-recycling factor,192872,193429,+,frr,558,"Translation, ribosomal structure and biogenesis"
b0173,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,193521,194717,+,cdsA;uppS;dxr,1197,Lipid transport and metabolism
b0174,uppS,"<i>ditrans,polycis</i>-undecaprenyl-diphosphate synthase [(2<i>E</i>,6<i>E</i>)-farnesyl-diphosphate specific]",194903,195664,+,cdsA;uppS;dxr,762,Lipid transport and metabolism
b0175,cdsA,CDP-diglyceride synthetase,195677,196534,+,cdsA;uppS;dxr,858,Lipid transport and metabolism
b0176,rseP,intramembrane zinc metalloprotease RseP,196546,197898,+,rseP,1353,Cell wall/membrane/envelope biogenesis
b0177,bamA,outer membrane protein assembly factor BamA,197928,200360,+,dnaE;rnhB;lpxB;lpxA;fabZ;lpxD;skp;bamA,2433,Cell wall/membrane/envelope biogenesis
b0178,skp,periplasmic chaperone Skp,200482,200967,+,dnaE;rnhB;lpxB;lpxA;fabZ;lpxD;skp;bamA,486,Cell wall/membrane/envelope biogenesis
b0179,lpxD,UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase,200971,201996,+,dnaE;rnhB;lpxB;lpxA;fabZ;lpxD;skp;bamA,1026,Cell wall/membrane/envelope biogenesis
b0180,fabZ,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,202101,202556,+,dnaE;rnhB;lpxB;lpxA;fabZ;lpxD;skp;bamA,456,Lipid transport and metabolism
b0181,lpxA,acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase,202560,203348,+,dnaE;rnhB;lpxB;lpxA;fabZ;lpxD;skp;bamA,789,Cell wall/membrane/envelope biogenesis
b0182,lpxB,lipid A disaccharide synthase,203348,204496,+,dnaE;rnhB;lpxB;lpxA;fabZ;lpxD;skp;bamA,1149,Cell wall/membrane/envelope biogenesis
b0183,rnhB,RNase HII,204493,205089,+,dnaE;rnhB;lpxB;lpxA;fabZ;lpxD;skp;bamA,597,"Replication, recombination and repair"
b0184,dnaE,DNA polymerase III subunit &alpha;,205126,208608,+,dnaE;rnhB;lpxB;lpxA;fabZ;lpxD;skp;bamA,3483,"Replication, recombination and repair"
b0185,accA,acetyl-CoA carboxyltransferase subunit &alpha;,208621,209580,+,accA,960,Lipid transport and metabolism
b0186,ldcC,lysine decarboxylase 2,209679,211820,+,ldcC,2142,Amino acid transport and metabolism
b0187,yaeR,VOC domain-containing protein YaeR,211877,212266,+,yaeR,390,Amino acid transport and metabolism
b0188,tilS,G6096-MONOMER,212331,213629,+,tilS,1299,"Cell cycle control, cell division, chromosome partitioning"
b0189,rof,modulator of Rho-dependent transcription termination,213678,213932,-,yaeP;rof,255,Transcription
b0191,arfB,"peptidyl-tRNA hydrolase, ribosome rescue factor",214833,215255,+,nlpE;arfB;yaeQ,423,"Translation, ribosomal structure and biogenesis"
b0192,nlpE,sensor lipoprotein NlpE,215269,215979,+,nlpE;arfB;yaeQ,711,Cell wall/membrane/envelope biogenesis
b0193,yaeF,peptidase C92 family protein YaeF,216179,217003,-,yaeF,825,Function unknown
b0194,proS,proline&mdash;tRNA ligase,217057,218775,-,proS,1719,"Translation, ribosomal structure and biogenesis"
b0195,trmO,tRNA m<sup>6</sup>t<sup>6</sup>A37 methyltransferase,218887,219594,-,rcsF;trmO,708,Function unknown
b0196,rcsF,sensor lipoprotein RcsF,219591,219995,-,rcsF;trmO,405,Cell wall/membrane/envelope biogenesis
b0197,metQ,L-methionine/D-methionine ABC transporter membrane anchored binding protein,220113,220928,-,metQ;metI;metN,816,Inorganic ion transport and metabolism
b0198,metI,L-methionine/D-methionine ABC transporter membrane subunit,220968,221621,-,metQ;metI;metN,654,Inorganic ion transport and metabolism
b0199,metN,L-methionine/D-methionine ABC transporter ATP binding subunit,221614,222645,-,metQ;metI;metN,1032,Inorganic ion transport and metabolism
b0200,gmhB,"D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose-1,7-bisphosphate 7-phosphatase",222833,223408,+,gmhB,576,Amino acid transport and metabolism
b0207,dkgB,methylglyoxal reductase DkgB,229167,229970,+,dkgB,804,Function unknown
b0208,yafC,LysR family transcriptional regulator YafC,229967,230881,-,yafC,915,Transcription
b0209,yafD,endonuclease/exonuclease/phosphatase domain-containing protein YafD,231122,231922,+,yafE;yafD,801,Function unknown
b0210,yafE,putative S-adenosylmethionine-dependent methyltransferase,231926,232549,+,yafE;yafD,624,"Secondary metabolites biosynthesis, transport and catabolism"
b0211,mltD,membrane-bound lytic murein transglycosylase D,232597,233955,-,mltD,1359,Cell wall/membrane/envelope biogenesis
b0212,gloB,hydroxyacylglutathione hydrolase GloB,234027,234782,-,gloB,756,Function unknown
b0213,yafS,putative S-adenosyl-L-methionine-dependent methyltransferase,234816,235538,+,yafS,723,"Secondary metabolites biosynthesis, transport and catabolism"
b0214,rnhA,ribonuclease HI,235535,236002,-,rnhA,468,"Replication, recombination and repair"
b0215,dnaQ,DNA polymerase III subunit &epsilon;,236067,236798,+,dnaQ,732,"Replication, recombination and repair"
b0217,yafT,lipoprotein YafT,237335,238120,+,yafT,786,Function unknown
b0218,yafU,putative inner membrane protein,238746,239084,-,yafU,339,No COG Annotation
b0219,yafV,2-oxoglutaramate amidase,239419,240189,-,yafV,771,Function unknown
b0220,ivy,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",240343,240816,+,ivy,474,Function unknown
b0221,fadE,acyl-CoA dehydrogenase,240859,243303,-,fadE,2445,Lipid transport and metabolism
b0222,gmhA,D-sedoheptulose 7-phosphate isomerase,243543,244121,+,gmhA,579,Carbohydrate transport and metabolism
b0224,ldtF,"L,D-transpeptidase domain-containing protein LdtF",245065,245805,-,ldtF,741,Function unknown
b0225,yafQ,ribosome-dependent mRNA interferase toxin YafQ,245961,246239,-,dinJ;yafQ,279,Function unknown
b0226,dinJ,antitoxin/DNA-binding transcriptional repressor DinJ,246242,246502,-,dinJ;yafQ,261,"Replication, recombination and repair"
b0227,yafL,NlpC/P60 family protein YafL,246712,247461,+,yafL,750,Cell wall/membrane/envelope biogenesis
b0228,rayT,REP-associated tyrosine transposase,247637,248134,+,rayT,498,"Replication, recombination and repair"
b0229,lfhA,"flagellar system protein, promoterless fragment",248358,250070,-,lfhA,1713,No COG Annotation
b0230,lafU,"flagellar system protein, promoterless fragment",250072,250827,+,lafU,756,No COG Annotation
